# Rescue Logfile. Created by GNU ddrescue version 1.14
# Command line: ddrescue --direct -i 6291519b -s 8b --try-again --retrim /dev/sda ./rescue.img ./rescue.log
# current_pos  current_status
0xC0008A00     +
#      pos        size  status
0x00000000  0x7F44BE00  +
0x7F44BE00  0x00007800  -
0x7F453600  0x007DE800  +
0x7FC31E00  0x00002000  -
0x7FC33E00  0x001F5000  +
0x7FE28E00  0x00002200  -
0x7FE2B000  0x0013A000  +
0x7FF65000  0x00001E00  -
0x7FF66E00  0x00BA9000  +
0x80B0FE00  0x00010000  -
0x80B1FE00  0x007F9000  +
0x81318E00  0x00010000  -
0x81328E00  0x02B52000  +
0x83E7AE00  0x00010000  -
0x83E8AE00  0x00E17000  +
0x84CA1E00  0x00006200  -
0x84CA8000  0x00001000  +
0x84CA9000  0x00000800  -
0x84CA9800  0x00000800  +
0x84CAA000  0x00004400  -
0x84CAE400  0x00001C00  +
0x84CB0000  0x00000A00  -
0x84CB0A00  0x00000800  +
0x84CB1200  0x00000200  -
0x84CB1400  0x0245BC00  +
0x8710D000  0x00001E00  -
0x8710EE00  0x00009200  +
0x87118000  0x00001000  -
0x87119000  0x00000C00  +
0x87119C00  0x00000400  -
0x8711A000  0x00000400  +
0x8711A400  0x00000400  -
0x8711A800  0x00000800  +
0x8711B000  0x00000200  -
0x8711B200  0x00000200  +
0x8711B400  0x00000600  -
0x8711BA00  0x00000800  +
0x8711C200  0x00000800  -
0x8711CA00  0x00110400  +
0x8722CE00  0x00010000  -
0x8723CE00  0x094D6000  +
0x90712E00  0x00000400  -
0x90713200  0x00000400  +
0x90713600  0x00000200  -
0x90713800  0x08A73600  +
0x99186E00  0x00004E00  -
0x9918BC00  0x00000200  +
0x9918BE00  0x00001000  -
0x9918CE00  0x06F8E000  +
0xA011AE00  0x00002400  -
0xA011D200  0x00000800  +
0xA011DA00  0x00000800  -
0xA011E200  0x00000200  +
0xA011E400  0x00000600  -
0xA011EA00  0x00000200  +
0xA011EC00  0x00000200  -
0xA011EE00  0x00000600  +
0xA011F400  0x00000200  -
0xA011F600  0x00000C00  +
0xA0120200  0x00000400  -
0xA0120600  0x00002800  +
0xA0122E00  0x00000200  -
0xA0123000  0x00001600  +
0xA0124600  0x00000200  -
0xA0124800  0x00005A00  +
0xA012A200  0x00000400  -
0xA012A600  0x00000800  +
0xA012AE00  0x00000600  -
0xA012B400  0x00000400  +
0xA012B800  0x00000200  -
0xA012BA00  0x00000200  +
0xA012BC00  0x00000400  -
0xA012C000  0x0ADCEE00  +
0xAAEFAE00  0x00000200  -
0xAAEFB000  0x005E2E00  +
0xAB4DDE00  0x00007000  -
0xAB4E4E00  0x00000200  +
0xAB4E5000  0x00000600  -
0xAB4E5600  0x00000200  +
0xAB4E5800  0x00000600  -
0xAB4E5E00  0x00000200  +
0xAB4E6000  0x00000200  -
0xAB4E6200  0x00000200  +
0xAB4E6400  0x00000200  -
0xAB4E6600  0x00000600  +
0xAB4E6C00  0x00000200  -
0xAB4E6E00  0x00000400  +
0xAB4E7200  0x00000200  -
0xAB4E7400  0x00000800  +
0xAB4E7C00  0x00000200  -
0xAB4E7E00  0x00000400  +
0xAB4E8200  0x00000600  -
0xAB4E8800  0x00000E00  +
0xAB4E9600  0x00000200  -
0xAB4E9800  0x00000200  +
0xAB4E9A00  0x00000400  -
0xAB4E9E00  0x00001800  +
0xAB4EB600  0x00000600  -
0xAB4EBC00  0x00000200  +
0xAB4EBE00  0x00000800  -
0xAB4EC600  0x00000200  +
0xAB4EC800  0x00000400  -
0xAB4ECC00  0x00000200  +
0xAB4ECE00  0x00000200  -
0xAB4ED000  0x00000200  +
0xAB4ED200  0x00000200  -
0xAB4ED400  0x00000C00  +
0xAB4EE000  0x00000200  -
0xAB4EE200  0x00000800  +
0xAB4EEA00  0x00000200  -
0xAB4EEC00  0x00000200  +
0xAB4EEE00  0x00000200  -
0xAB4EF000  0x00001600  +
0xAB4F0600  0x00000400  -
0xAB4F0A00  0x00000A00  +
0xAB4F1400  0x00000200  -
0xAB4F1600  0x00001800  +
0xAB4F2E00  0x00000200  -
0xAB4F3000  0x00281E00  +
0xAB774E00  0x00000800  -
0xAB775600  0x00000200  +
0xAB775800  0x00000400  -
0xAB775C00  0x00001A00  +
0xAB777600  0x00000200  -
0xAB777800  0x00000A00  +
0xAB778200  0x00000200  -
0xAB778400  0x00003E00  +
0xAB77C200  0x00000200  -
0xAB77C400  0x00000400  +
0xAB77C800  0x00000200  -
0xAB77CA00  0x00003400  +
0xAB77FE00  0x00000200  -
0xAB780000  0x00DF8000  +
0xAC578000  0x00000200  -
0xAC578200  0x00000C00  +
0xAC578E00  0x00000200  -
0xAC579000  0x01614E00  +
0xADB8DE00  0x00003A00  -
0xADB91800  0x00000200  +
0xADB91A00  0x00003E00  -
0xADB95800  0x00000200  +
0xADB95A00  0x00001200  -
0xADB96C00  0x00000200  +
0xADB96E00  0x00000600  -
0xADB97400  0x00000200  +
0xADB97600  0x00001000  -
0xADB98600  0x00000400  +
0xADB98A00  0x00000E00  -
0xADB99800  0x00000200  +
0xADB99A00  0x00001000  -
0xADB9AA00  0x00000200  +
0xADB9AC00  0x00001600  -
0xADB9C200  0x00000200  +
0xADB9C400  0x00000600  -
0xADB9CA00  0x00000200  +
0xADB9CC00  0x00000A00  -
0xADB9D600  0x00000200  +
0xADB9D800  0x00000400  -
0xADB9DC00  0x09541200  +
0xB70DEE00  0x00008600  -
0xB70E7400  0x00000200  +
0xB70E7600  0x00000200  -
0xB70E7800  0x00000400  +
0xB70E7C00  0x00000200  -
0xB70E7E00  0x00003200  +
0xB70EB000  0x00000200  -
0xB70EB200  0x007E5C00  +
0xB78D0E00  0x00000800  -
0xB78D1600  0x00000800  +
0xB78D1E00  0x00000E00  -
0xB78D2C00  0x00000400  +
0xB78D3000  0x00000200  -
