# Rescue Logfile. Created by GNU ddrescue version 1.17
# Command line: ddrescue -d /dev/sdb /home/rescue/image.img /home/rescue/rescuelog.log
# current_pos  current_status
0x649127000     ?
#      pos        size  status
0x00000000  0x04FCE000  +
0x04FCE000  0x00008000  *
0x04FD6000  0x00000200  -
0x04FD6200  0x00010000  *
0x04FE6200  0x00000E00  +
0x04FE7000  0x00000200  -
0x04FE7200  0x0001F200  *
0x05006400  0x00000200  -
0x05006600  0x0003E400  *
0x05044A00  0x00000200  -
0x05044C00  0x0007C800  *
0x050C1400  0x00000200  -
0x050C1600  0x000F9000  *
0x051BA600  0x00000200  -
0x051BA800  0x001F2000  *
0x053AC800  0x00000200  -
0x053ACA00  0x003E4000  *
0x05790A00  0x00000200  -
0x05790C00  0x007C8000  *
0x05F58C00  0x00000200  -
0x05F58E00  0x00F90000  *
0x06EE8E00  0x00000200  -
0x06EE9000  0x00EAD000  *
0x07D96000  0x00002000  +
0x07D98000  0x0000E000  -
0x07DA6000  0x0000B000  +
0x07DB1000  0x00035000  -
0x07DE6000  0x00008000  +
0x07DEE000  0x00111200  -
0x07EFF200  0x0AFA1C00  +
0x12EA0E00  0x0000B000  *
0x12EABE00  0x00047000  +
0x12EF2E00  0x00009000  *
0x12EFBE00  0x00091000  +
0x12F8CE00  0x0000F000  *
0x12F9BE00  0x00042000  +
0x12FDDE00  0x0000E000  *
0x12FEBE00  0x000B2000  +
0x1309DE00  0x0000E000  *
0x130ABE00  0x0001E000  +
0x130C9E00  0x00002000  *
0x130CBE00  0x000BE000  +
0x13189E00  0x00002000  *
0x1318BE00  0x00029000  +
0x131B4E00  0x00007000  *
0x131BBE00  0x000B9000  +
0x13274E00  0x00007000  *
0x1327BE00  0x000E4000  +
0x1335FE00  0x0000C000  *
0x1336BE00  0x00046000  +
0x133B1E00  0x0000A000  *
0x133BBE00  0x00090000  +
0x1344BE00  0x00010000  *
0x1345BE00  0x00042000  +
0x1349DE00  0x0000E000  *
0x134ABE00  0x0008B000  +
0x13536E00  0x00005000  *
0x1353BE00  0x0004D000  +
0x13588E00  0x00003000  *
0x1358BE00  0x00096000  +
0x13621E00  0x0000A000  *
0x1362BE00  0x00048000  +
0x13673E00  0x00008000  *
0x1367BE00  0x00092000  +
0x1370DE00  0x0000E000  *
0x1371BE00  0x00044000  +
0x1375FE00  0x0000C000  *
0x1376BE00  0x000DF000  +
0x1384AE00  0x00001000  *
0x1384BE00  0x00000200  -
0x1384C000  0x00010000  *
0x1385C000  0x000AEE00  +
0x1390AE00  0x00001000  *
0x1390BE00  0x00000200  -
0x1390C000  0x00010000  *
0x1391C000  0x00019E00  +
0x13935E00  0x00000200  -
0x13936000  0x00006200  *
0x1393C200  0x000B9C00  +
0x139F5E00  0x00006000  *
0x139FBE00  0x000E6000  +
0x13AE1E00  0x0000A000  *
0x13AEBE00  0x00049000  +
0x13B34E00  0x00007000  *
0x13B3BE00  0x00091000  +
0x13BCCE00  0x0000F000  *
0x13BDBE00  0x00043000  +
0x13C1EE00  0x0000D000  *
0x13C2BE00  0x0008C000  +
0x13CB7E00  0x00004000  *
0x13CBBE00  0x0004E000  +
0x13D09E00  0x00002000  *
0x13D0BE00  0x00098000  +
0x13DA3E00  0x00008000  *
0x13DABE00  0x0004A000  +
0x13DF5E00  0x00006000  *
0x13DFBE00  0x00093000  +
0x13E8EE00  0x0000D000  *
0x13E9BE00  0x00046000  +
0x13EE1E00  0x0000A000  *
0x13EEBE00  0x000E1000  +
0x13FCCE00  0x0000F000  *
0x13FDBE00  0x000B0000  +
0x1408BE00  0x00010000  *
0x1409BE00  0x0001C000  +
0x140B7E00  0x00004000  *
0x140BBE00  0x000B2000  +
0x1416DE00  0x0000E000  *
0x1417BE00  0x000DD000  +
0x14258E00  0x00003000  *
0x1425BE00  0x00003000  +
0x1425EE00  0x00000200  -
0x1425F000  0x0000D000  *
0x1426C000  0x00049E00  +
0x142B5E00  0x00006000  *
0x142BBE00  0x00088000  +
0x14343E00  0x00008000  *
0x1434BE00  0x00002000  +
0x1434DE00  0x00000200  -
0x1434E000  0x0000E000  *
0x1435C000  0x00044E00  +
0x143A0E00  0x0000B000  *
0x143ABE00  0x00084000  +
0x1442FE00  0x0000C000  *
0x1443BE00  0x00051000  +
0x1448CE00  0x0000F000  *
0x1449BE00  0x0007F000  +
0x1451AE00  0x00001000  *
0x1451BE00  0x00005000  +
0x14520E00  0x00000200  -
0x14521000  0x0000B000  *
0x1452C000  0x0004BE00  +
0x14577E00  0x00004000  *
0x1457BE00  0x00094000  +
0x1460FE00  0x0000C000  *
0x1461BE00  0x00047000  +
0x14662E00  0x00009000  *
0x1466BE00  0x000AC000  +
0x14717E00  0x00004000  *
0x1471BE00  0x00033000  +
0x1474EE00  0x0000D000  *
0x1475BE00  0x000A8000  +
0x14803E00  0x00008000  *
0x1480BE00  0x00002000  +
0x1480DE00  0x00000200  -
0x1480E000  0x0000E000  *
0x1481C000  0x0001DE00  +
0x14839E00  0x00002000  *
0x1483BE00  0x000B3000  +
0x148EEE00  0x0000D000  *
0x148FBE00  0x000DE000  +
0x149D9E00  0x00002000  *
0x149DBE00  0x00004000  +
0x149DFE00  0x00000200  -
0x149E0000  0x0000C000  *
0x149EC000  0x0004AE00  +
0x14A36E00  0x00005000  *
0x14A3BE00  0x0008A000  +
0x14AC5E00  0x00006000  *
0x14ACBE00  0x00000200  -
0x14ACC000  0x00010000  *
0x14ADC000  0x00046E00  +
0x14B22E00  0x00009000  *
0x14B2BE00  0x00085000  +
0x14BB0E00  0x0000B000  *
0x14BBBE00  0x00000200  -
0x14BBC000  0x00010000  *
0x14BCC000  0x00041E00  +
0x14C0DE00  0x0000E000  *
0x14C1BE00  0x00080000  +
0x14C9BE00  0x00010000  *
0x14CABE00  0x0004D000  +
0x14CF8E00  0x00003000  *
0x14CFBE00  0x0008C000  +
0x14D87E00  0x00004000  *
0x14D8BE00  0x00002000  +
0x14D8DE00  0x00000200  -
0x14D8E000  0x0000E000  *
0x14D9C000  0x00048E00  +
0x14DE4E00  0x00007000  *
0x14DEBE00  0x000E4000  +
0x14ECFE00  0x0000C000  *
0x14EDBE00  0x000A9000  +
0x14F84E00  0x00007000  *
0x14F8BE00  0x00003000  +
0x14F8EE00  0x00000200  -
0x14F8F000  0x0000D000  *
0x14F9C000  0x0001EE00  +
0x14FBAE00  0x00001000  *
0x14FBBE00  0x000B4000  +
0x1506FE00  0x0000C000  *
0x1507BE00  0x000E0000  +
