# Rescue Logfile. Created by GNU ddrescue version 1.14
# Command line: ddrescue -f -n -d /dev/sda /mnt/nas/ddrescue/example.img /mnt/nas/ddrescue/example.log
# current_pos  current_status
0x30E8F7200     ?
#      pos        size  status
0x00000000  0x7F440000  +
0x7F440000  0x00010000  *
0x7F450000  0x00000200  -
0x7F450200  0x00010000  *
0x7F460200  0x00580000  +
0x7F9E0200  0x00010000  *
0x7F9F0200  0x00140000  +
0x7FB30200  0x00010000  *
0x7FB40200  0x00000200  -
0x7FB40400  0x00010000  *
0x7FB50400  0x000E0000  +
0x7FC30400  0x00010000  *
0x7FC40400  0x00040000  +
0x7FC80400  0x00010000  *
0x7FC90400  0x00190000  +
0x7FE20400  0x00010000  *
0x7FE30400  0x00130000  +
0x7FF60400  0x00010000  *
0x7FF70400  0x00B90000  +
0x80B00400  0x00010000  *
0x80B10400  0x00000200  -
0x80B10600  0x00010000  *
0x80B20600  0x007F0000  +
0x81310600  0x00010000  *
0x81320600  0x00000200  -
0x81320800  0x00010000  *
0x81330800  0x02B40000  +
0x83E70800  0x00010000  *
0x83E80800  0x00000200  -
0x83E80A00  0x00010000  *
0x83E90A00  0x00E10000  +
0x84CA0A00  0x00010000  *
0x84CB0A00  0x00000200  -
0x84CB0C00  0x00010000  *
0x84CC0C00  0x02440000  +
0x87100C00  0x00010000  *
0x87110C00  0x00000E00  +
0x87111A00  0x00000200  -
0x87111C00  0x0000F200  *
0x87120E00  0x00100000  +
0x87220E00  0x00010000  *
0x87230E00  0x00000200  -
0x87231000  0x00010000  *
0x87241000  0x094D0000  +
0x90711000  0x00010000  *
0x90721000  0x08A60000  +
0x99181000  0x00010000  *
0x99191000  0x06F80000  +
0xA0111000  0x00010000  *
0xA0121000  0x00000200  -
0xA0121200  0x00010000  *
0xA0131200  0x0ADC0000  +
0xAAEF1200  0x00010000  *
0xAAF01200  0x005D0000  +
0xAB4D1200  0x00010000  *
0xAB4E1200  0x00000200  -
0xAB4E1400  0x00010000  *
0xAB4F1400  0x00000200  -
0xAB4F1600  0x00020000  *
0xAB511600  0x00260000  +
0xAB771600  0x00010000  *
0xAB781600  0x00000200  -
0xAB781800  0x00010000  *
0xAB791800  0x00DE0000  +
0xAC571800  0x00010000  *
0xAC581800  0x01600000  +
0xADB81800  0x00010000  *
0xADB91800  0x00000200  -
0xADB91A00  0x00010000  *
0xADBA1A00  0x09530000  +
0xB70D1A00  0x00010000  *
0xB70E1A00  0x00000200  -
0xB70E1C00  0x00010000  *
0xB70F1C00  0x007D0000  +
0xB78C1C00  0x00010000  *
0xB78D1C00  0x00000200  -
0xB78D1E00  0x00010000  *
0xB78E1E00  0x04720000  +
0xBC001E00  0x00010000  *
0xBC011E00  0x01B90000  +
0xBDBA1E00  0x00010000  *
0xBDBB1E00  0x00040000  +
0xBDBF1E00  0x00010000  *
0xBDC01E00  0x00010000  +
0xBDC11E00  0x00010000  *
0xBDC21E00  0x00009000  +
0xBDC2AE00  0x00000200  -
0xBDC2B000  0x00007000  *
0xBDC32000  0x00001E00  +
0xBDC33E00  0x00000200  -
0xBDC34000  0x0000E200  *
0xBDC42200  0x00008C00  +
0xBDC4AE00  0x00000200  -
0xBDC4B000  0x00007400  *
0xBDC52400  0x00020000  +
0xBDC72400  0x00010000  *
0xBDC82400  0x00006A00  +
0xBDC88E00  0x00000200  -
0xBDC89000  0x00009600  *
0xBDC92600  0x00000200  -
0xBDC92800  0x00010000  *
0xBDCA2800  0x00002600  +
0xBDCA4E00  0x00000200  -
0xBDCA5000  0x0001DA00  *
0xBDCC2A00  0x00000200  -
0xBDCC2C00  0x0003B400  *
0xBDCFE000  0x00000200  -
0xBDCFE200  0x00076800  *
0xBDD74A00  0x00004600  +
0xBDD79000  0x00000200  -
0xBDD79200  0x000E8A00  *
0xBDE61C00  0x00000200  +
0xBDE61E00  0x00000200  -
0xBDE62000  0x001D1200  *
0xBE033200  0x01FD2400  +
0xC0005600  0x00010000  *
0xC0015600  0x00004800  +
0xC0019E00  0x00000200  -
0xC001A000  0x0000B800  *
0xC0025800  0x0000F600  +
0xC0034E00  0x00000200  -
0xC0035000  0x00000A00  *
0xC0035A00  0x00000400  +
0xC0035E00  0x00000200  -
0xC0036000  0x0000FC00  *
0xC0045C00  0x00010000  +
0xC0055C00  0x00010000  *
0xC0065C00  0x00060000  +
0xC00C5C00  0x00010000  *
0xC00D5C00  0x000B0000  +
0xC0185C00  0x00010000  *
0xC0195C00  0x00020000  +
0xC01B5C00  0x00010000  *
0xC01C5C00  0x000C0000  +
0xC0285C00  0x00010000  *
0xC0295C00  0x00030000  +
0xC02C5C00  0x00010000  *
0xC02D5C00  0x0000F200  +
0xC02E4E00  0x00000200  -
0xC02E5000  0x00000E00  *
0xC02E5E00  0x00020000  +
0xC0305E00  0x00010000  *
0xC0315E00  0x0000D000  +
0xC0322E00  0x00000200  -
0xC0323000  0x00003000  *
0xC0326000  0x00003E00  +
0xC0329E00  0x00000200  -
0xC032A000  0x0000C200  *
0xC0336200  0x000E0000  +
0xC0416200  0x00010000  *
0xC0426200  0x000C0000  +
0xC04E6200  0x00010000  *
0xC04F6200  0x00002C00  +
0xC04F8E00  0x00000200  -
0xC04F9000  0x0000D400  *
0xC0506400  0x000E0000  +
0xC05E6400  0x00010000  *
0xC05F6400  0x000B0000  +
0xC06A6400  0x00010000  *
0xC06B6400  0x00020000  +
0xC06D6400  0x00010000  *
0xC06E6400  0x00060000  +
0xC0746400  0x00010000  *
0xC0756400  0x00050000  +
0xC07A6400  0x00010000  *
0xC07B6400  0x00020000  +
0xC07D6400  0x00010000  *
0xC07E6400  0x00080000  +
0xC0866400  0x00010000  *
0xC0876400  0x00010000  +
0xC0886400  0x00010000  *
0xC0896400  0x00010000  +
0xC08A6400  0x00010000  *
0xC08B6400  0x00030000  +
0xC08E6400  0x00010000  *
0xC08F6400  0x0000FA00  +
0xC0905E00  0x00000200  -
