# Rescue Logfile. Created by GNU ddrescue version 1.14
# Command line: ddrescue -b 2048 -i 127100M /dev/sdd2 rescue.img rescue.log
# current_pos  current_status
0x1DDBF13000     *
#      pos        size  status
0x00000000  0x00F35000  +
0x00F35000  0x0000B000  *
0x00F40000  0x1A3E0000  +
0x1B320000  0x00010000  *
0x1B330000  0xA26D3000  +
0xBDA03000  0x0000D000  *
0xBDA10000  0x00267000  +
0xBDC77000  0x00009000  *
0xBDC80000  0x309AF000  +
0xEE62F000  0x00001000  *
0xEE630000  0x00000800  -
0xEE630800  0x00010000  *
0xEE640800  0x00078800  +
0xEE6B9000  0x00007800  *
0xEE6C0800  0x00082800  +
0xEE743000  0x0000D800  *
0xEE750800  0x0007C800  +
0xEE7CD000  0x00003800  *
0xEE7D0800  0x00086800  +
0xEE857000  0x00009800  *
0xEE860800  0x0011D800  +
0xEE97E000  0x00002800  *
0xEE980800  0x00087800  +
0xEEA08000  0x00008800  *
0xEEA10800  0x00081800  +
0xEEA92000  0x0000E800  *
0xEEAA0800  0x0007A800  +
0xEEB1B000  0x00005800  *
0xEEB20800  0x00084800  +
0xEEBA5000  0x0000B800  *
0xEEBB0800  0x0007E800  +
0xEEC2F000  0x00001800  *
0xEEC30800  0x00000800  -
0xEEC31000  0x00010000  *
0xEEC41000  0x00078000  +
0xEECB9000  0x00008000  *
0xEECC1000  0x00082000  +
0xEED43000  0x0000E000  *
0xEED51000  0x00119000  +
0xEEE6A000  0x00007000  *
0xEEE71000  0x00083000  +
0xEEEF4000  0x0000D000  *
0xEEF01000  0x0007D000  +
0xEEF7E000  0x00003000  *
0xEEF81000  0x00086000  +
0xEF007000  0x0000A000  *
0xEF011000  0x00080000  +
0xEF091000  0x00010000  *
0xEF0A1000  0x0007A000  +
0xEF11B000  0x00006000  *
0xEF121000  0x00084000  +
0xEF1A5000  0x0000C000  *
0xEF1B1000  0x0007E000  +
0xEF22F000  0x00002000  *
0xEF231000  0x00125000  +
0xEF356000  0x0000B000  *
0xEF361000  0x0007F000  +
0xEF3E0000  0x00001000  *
0xEF3E1000  0x00000800  -
0xEF3E1800  0x00010000  *
0xEF3F1800  0x00078800  +
0xEF46A000  0x00007800  *
0xEF471800  0x00082800  +
0xEF4F4000  0x0000D800  *
0xEF501800  0x0007C800  +
0xEF57E000  0x00003800  *
0xEF581800  0x00086800  +
0xEF608000  0x00009800  *
0xEF611800  0x0007F800  +
0xEF691000  0x00000800  *
0xEF691800  0x00000800  -
0xEF692000  0x00010000  *
0xEF6A2000  0x00079000  +
0xEF71B000  0x00007000  *
0xEF722000  0x00121000  +
0xEF843000  0x0000F000  *
0xEF852000  0x0007A000  +
0xEF8CC000  0x00006000  *
0xEF8D2000  0x00084000  +
0xEF956000  0x0000C000  *
0xEF962000  0x0007E000  +
0xEF9E0000  0x00002000  *
0xEF9E2000  0x00088000  +
0xEFA6A000  0x00008000  *
0xEFA72000  0x00082000  +
0xEFAF4000  0x0000E000  *
0xEFB02000  0x0007B000  +
0xEFB7D000  0x00005000  *
0xEFB82000  0x00085000  +
0xEFC07000  0x0000B000  *
0xEFC12000  0x0011D000  +
0xEFD2F000  0x00003000  *
0xEFD32000  0x00086000  +
0xEFDB8000  0x0000A000  *
0xEFDC2000  0x00080000  +
0xEFE42000  0x00010000  *
0xEFE52000  0x0007A000  +
0xEFECC000  0x00006000  *
0xEFED2000  0x00084000  +
0xEFF56000  0x0000C000  *
